Player ID,Name,Pos,Team,Cost,Total Points,Bonus,Points/$,Games,Goals,Assists,xG,xA,xGI,gc,xGc,clean_sheets,def_con,Saves,h_Games,h_Goals,h_Assists,h_xG,h_xA,h_xGI,h_Gc,h_xGc,a_Games,a_Goals,a_Assists,a_xG,a_xA,a_xGI,a_Gc,a_xGc
708,M.Fernandes,MID,West Ham,5.5,100,6,18.18,25,3,3,1.18,1.92,3.1,34,32.45,4,269,0,13,2,1,0.6,0.93,1.53,19,14.72,12,1,2,0.58,0.99,1.57,15,17.73
390,Gravenberch,MID,Liverpool,5.5,114,13,20.73,25,4,4,1.32,1.77,3.09,29,26.45,9,241,0,12,3,2,0.99,1.0,1.99,11,11.51,13,1,2,0.33,0.77,1.1,18,14.94
332,Lukić,MID,Fulham,4.9,50,3,10.2,19,1,3,1.74,1.35,3.09,17,18.45,4,127,0,8,0,1,0.65,0.89,1.54,7,6.83,11,1,2,1.09,0.46,1.55,10,11.62
206,Edwards,MID,Burnley,4.7,43,2,9.15,17,1,3,1.44,1.65,3.09,15,17.71,1,51,0,8,0,1,1.04,0.84,1.88,8,8.52,9,1,2,0.4,0.81,1.21,7,9.19
694,Mukiele,DEF,Sunderland,4.6,115,8,25.0,25,1,5,1.02,2.01,3.03,28,35.72,7,225,0,13,1,4,1.0,1.16,2.16,10,15.07,12,0,1,0.02,0.85,0.87,18,20.65
347,Gudmundsson,DEF,Leeds United,3.8,57,8,15.0,26,0,0,1.04,1.99,3.02,40,34.58,4,149,0,13,0,0,0.96,0.96,1.91,17,13.91,13,0,0,0.08,1.03,1.11,23,20.67
642,Hee Chan,MID,Wolves,5.6,44,0,7.86,20,2,1,2.1,0.92,3.02,22,17.67,2,68,0,11,2,1,1.61,0.74,2.35,12,8.93,9,0,0,0.49,0.18,0.67,10,8.74
107,Lewis-Potter,DEF,Brentford,4.8,77,3,16.04,25,3,1,2.02,0.99,3.01,20,20.32,6,41,0,12,1,0,1.16,0.47,1.63,7,11.25,13,2,1,0.86,0.52,1.38,13,9.07
730,Brobbey,FWD,Sunderland,5.5,62,8,11.27,22,5,1,2.6,0.41,3.01,17,21.13,4,50,0,10,3,0,1.37,0.26,1.63,6,8.58,12,2,1,1.23,0.15,1.38,11,12.55
241,Caicedo,MID,Chelsea,5.7,87,10,15.26,22,3,1,1.16,1.84,3.0,26,27.95,6,269,0,13,1,0,0.43,1.32,1.75,16,16.78,9,2,1,0.73,0.52,1.25,10,11.17
342,Bogle,DEF,Leeds United,4.4,66,0,15.0,25,1,3,1.8,1.2,3.0,39,31.67,4,134,0,12,1,1,0.78,0.49,1.27,16,11.51,13,0,2,1.02,0.71,1.73,23,20.16
