Player ID,Name,Pos,Team,Cost,opponent,team_Oi,opponent_Di,xGI,projected GI,team_Di,opponent_Oi,xGc,projected Gc,projected net goals
97,Evanilson,FWD,Bournemouth,7.0,Tottenham,1.15,0.0,0.155,0.0,1.54,1.92,1.31,2.52,-2.52
686,Ngumoha,MID,Liverpool,4.5,Arsenal,2.69,0.0,0.37,0.0,1.54,2.31,0.0,0.0,0.0
382,Wirtz,MID,Liverpool,8.5,Arsenal,2.69,0.0,0.28,0.0,1.54,2.31,1.24,2.86,-2.86
86,Brooks,MID,Bournemouth,5.0,Tottenham,1.15,0.0,0.61,0.0,1.54,1.92,1.155,2.22,-2.22
84,Tavernier,MID,Bournemouth,5.5,Tottenham,1.15,0.0,0.39,0.0,1.54,1.92,1.31,2.52,-2.52
384,Gakpo,MID,Liverpool,7.5,Arsenal,2.69,0.0,0.385,0.0,1.54,2.31,1.315,3.04,-3.04
381,M.Salah,MID,Liverpool,14.5,Arsenal,2.69,0.0,0.29,0.0,1.54,2.31,1.315,3.04,-3.04
372,Robertson,DEF,Liverpool,6.0,Arsenal,2.69,0.0,0.04,0.0,1.54,2.31,0.89,2.06,-2.06
38,Konsa,DEF,Aston Villa,4.5,Crystal Palace,0.0,0.38,0.01,0.0,0.38,0.38,1.11,0.42,-0.42
32,Martinez,GK,Aston Villa,5.0,Crystal Palace,0.0,0.38,0.01,0.0,0.38,0.38,1.21,0.46,-0.46
67,Petrović,GK,Bournemouth,4.5,Tottenham,1.15,0.0,0.0,0.0,1.54,1.92,1.335,2.56,-2.56
375,Bradley,DEF,Liverpool,5.0,Arsenal,2.69,0.0,0.01,0.0,1.54,2.31,0.16,0.37,-0.37
182,Trafford,GK,Manchester City,5.0,Brighton,1.54,1.15,0.0,0.0,0.77,0.38,0.835,0.32,-0.32
390,Gravenberch,MID,Liverpool,5.5,Arsenal,2.69,0.0,0.03,0.0,1.54,2.31,0.93,2.15,-2.15
470,Dúbravka,GK,Burnley,4.0,Manchester Utd,0.77,0.77,0.0,0.0,1.15,0.38,1.545,0.59,-0.59
220,Sánchez,GK,Chelsea,5.0,Fulham,1.92,0.77,0.0,0.0,0.38,0.77,0.695,0.54,-0.54
685,Diakité,DEF,Bournemouth,4.5,Tottenham,1.15,0.0,0.0,0.0,1.54,1.92,1.335,2.56,-2.56
348,Rodon,DEF,Leeds United,4.0,Newcastle Utd,0.38,1.15,0.0,0.0,1.92,0.77,1.715,1.32,-1.32
469,Pope,GK,Newcastle Utd,5.0,Leeds United,0.77,1.92,0.0,0.0,1.15,0.38,0.45,0.17,-0.17
1,Raya,GK,Arsenal,5.5,Liverpool,2.31,1.54,0.0,0.0,0.0,2.69,0.845,2.27,-2.27
287,Pickford,GK,Everton,5.5,Wolves,0.77,1.92,0.0,0.0,0.38,0.0,2.25,0.0,0.0
82,Semenyo,MID,Bournemouth,7.2,Tottenham,1.15,0.0,0.84,0.0,1.54,1.92,1.335,2.56,-2.56
81,Kluivert,MID,Bournemouth,7.0,Tottenham,1.15,0.0,0.12,0.0,1.54,1.92,0.06,0.12,-0.12
87,Christie,MID,Bournemouth,5.0,Tottenham,1.15,0.0,0.08,0.0,1.54,1.92,0.06,0.12,-0.12
677,Guessand,MID,Aston Villa,6.5,Crystal Palace,0.0,0.38,0.01,0.0,0.38,0.38,0.11,0.04,-0.04
73,Smith,DEF,Bournemouth,4.5,Tottenham,1.15,0.0,0.045,0.0,1.54,1.92,1.28,2.46,-2.46
